"playerID","retroID","bbrefID","nameFirstLast","age","hist_eval_age","d_eval_age","yearID","WAR","Similarity_Score","yearSeason"
"ramirma02","ramim002","ramirma02","Manny Ramirez",21.8,23.8,0,1994,1.6,31.6410451209828,-2
"ramirma02","ramim002","ramirma02","Manny Ramirez",22.8,23.8,0,1995,2.93,31.6410451209828,-1
"ramirma02","ramim002","ramirma02","Manny Ramirez",23.8,23.8,1,1996,4.19,31.6410451209828,0
"ramirma02","ramim002","ramirma02","Manny Ramirez",24.8,23.8,0,1997,4.59,31.6410451209828,1
"ramirma02","ramim002","ramirma02","Manny Ramirez",25.8,23.8,0,1998,5.24,31.6410451209828,2
"ramirma02","ramim002","ramirma02","Manny Ramirez",26.8,23.8,0,1999,7.33,31.6410451209828,3
"ramirma02","ramim002","ramirma02","Manny Ramirez",27.8,23.8,0,2000,4.77,31.6410451209828,4
"ramirma02","ramim002","ramirma02","Manny Ramirez",28.8,23.8,0,2001,5.23,31.6410451209828,5
"ramirma02","ramim002","ramirma02","Manny Ramirez",29.8,23.8,0,2002,6.03,31.6410451209828,6
"ramirma02","ramim002","ramirma02","Manny Ramirez",30.8,23.8,0,2003,5.37,31.6410451209828,7
"allendi01","alled101","allendi01","Dick Allen",22,24,0,1964,8.8,30.9320819830439,-2
"allendi01","alled101","allendi01","Dick Allen",23,24,0,1965,6.39,30.9320819830439,-1
"allendi01","alled101","allendi01","Dick Allen",24,24,1,1966,7.52,30.9320819830439,0
"allendi01","alled101","allendi01","Dick Allen",25,24,0,1967,5.33,30.9320819830439,1
"allendi01","alled101","allendi01","Dick Allen",26,24,0,1968,3.51,30.9320819830439,2
"allendi01","alled101","allendi01","Dick Allen",27,24,0,1969,3.65,30.9320819830439,3
"allendi01","alled101","allendi01","Dick Allen",28,24,0,1970,2.3,30.9320819830439,4
"allendi01","alled101","allendi01","Dick Allen",29,24,0,1971,5.44,30.9320819830439,5
"allendi01","alled101","allendi01","Dick Allen",30,24,0,1972,8.55,30.9320819830439,6
"allendi01","alled101","allendi01","Dick Allen",31,24,0,1973,2.94,30.9320819830439,7
"mantlmi01","mantm101","mantlmi01","Mickey Mantle",21.4,23.4,0,1953,5.29,21.3048585392227,-2
"mantlmi01","mantm101","mantlmi01","Mickey Mantle",22.4,23.4,0,1954,6.92,21.3048585392227,-1
"mantlmi01","mantm101","mantlmi01","Mickey Mantle",23.4,23.4,1,1955,9.54,21.3048585392227,0
"mantlmi01","mantm101","mantlmi01","Mickey Mantle",24.4,23.4,0,1956,11.24,21.3048585392227,1
"mantlmi01","mantm101","mantlmi01","Mickey Mantle",25.4,23.4,0,1957,11.3,21.3048585392227,2
"mantlmi01","mantm101","mantlmi01","Mickey Mantle",26.4,23.4,0,1958,8.66,21.3048585392227,3
"mantlmi01","mantm101","mantlmi01","Mickey Mantle",27.4,23.4,0,1959,6.61,21.3048585392227,4
"mantlmi01","mantm101","mantlmi01","Mickey Mantle",28.4,23.4,0,1960,6.33,21.3048585392227,5
"mantlmi01","mantm101","mantlmi01","Mickey Mantle",29.4,23.4,0,1961,10.46,21.3048585392227,6
"mantlmi01","mantm101","mantlmi01","Mickey Mantle",30.4,23.4,0,1962,5.94,21.3048585392227,7
"sizemgr01","sizeg001","sizemgr01","Grady Sizemore",21.6,23.6,0,2004,1.11,16.9989959307382,-2
"sizemgr01","sizeg001","sizemgr01","Grady Sizemore",22.6,23.6,0,2005,6.6,16.9989959307382,-1
"sizemgr01","sizeg001","sizemgr01","Grady Sizemore",23.6,23.6,1,2006,6.64,16.9989959307382,0
"sizemgr01","sizeg001","sizemgr01","Grady Sizemore",24.6,23.6,0,2007,5.47,16.9989959307382,1
"sizemgr01","sizeg001","sizemgr01","Grady Sizemore",25.6,23.6,0,2008,5.87,16.9989959307382,2
"sizemgr01","sizeg001","sizemgr01","Grady Sizemore",26.6,23.6,0,2009,2.19,16.9989959307382,3
"sizemgr01","sizeg001","sizemgr01","Grady Sizemore",27.6,23.6,0,2010,-0.44,16.9989959307382,4
"sizemgr01","sizeg001","sizemgr01","Grady Sizemore",28.6,23.6,0,2011,0.08,16.9989959307382,5
"cansejo01","cansj001","cansejo01","Jose Canseco",21.7,23.7,0,1986,3.03,16.0624404941975,-2
"cansejo01","cansj001","cansejo01","Jose Canseco",22.7,23.7,0,1987,1.58,16.0624404941975,-1
"cansejo01","cansj001","cansejo01","Jose Canseco",23.7,23.7,1,1988,7.25,16.0624404941975,0
"cansejo01","cansj001","cansejo01","Jose Canseco",24.7,23.7,0,1989,2.24,16.0624404941975,1
"cansejo01","cansj001","cansejo01","Jose Canseco",25.7,23.7,0,1990,5.4,16.0624404941975,2
"cansejo01","cansj001","cansejo01","Jose Canseco",26.7,23.7,0,1991,5.25,16.0624404941975,3
"cansejo01","cansj001","cansejo01","Jose Canseco",27.7,23.7,0,1992,2.28,16.0624404941975,4
"cansejo01","cansj001","cansejo01","Jose Canseco",28.7,23.7,0,1993,0.14,16.0624404941975,5
"cansejo01","cansj001","cansejo01","Jose Canseco",29.7,23.7,0,1994,2.96,16.0624404941975,6
"cansejo01","cansj001","cansejo01","Jose Canseco",30.7,23.7,0,1995,2.58,16.0624404941975,7
"mcgwima01","mcgwm001","mcgwima01","Mark McGwire",22.5,23.5,0,1986,-0.19,15.2729626541902,-1
"mcgwima01","mcgwm001","mcgwima01","Mark McGwire",23.5,23.5,1,1987,5.11,15.2729626541902,0
"mcgwima01","mcgwm001","mcgwima01","Mark McGwire",24.5,23.5,0,1988,2.7,15.2729626541902,1
"mcgwima01","mcgwm001","mcgwima01","Mark McGwire",25.5,23.5,0,1989,3.56,15.2729626541902,2
"mcgwima01","mcgwm001","mcgwima01","Mark McGwire",26.5,23.5,0,1990,5.69,15.2729626541902,3
"mcgwima01","mcgwm001","mcgwima01","Mark McGwire",27.5,23.5,0,1991,1.54,15.2729626541902,4
"mcgwima01","mcgwm001","mcgwima01","Mark McGwire",28.5,23.5,0,1992,6.44,15.2729626541902,5
"mcgwima01","mcgwm001","mcgwima01","Mark McGwire",29.5,23.5,0,1993,1.5,15.2729626541902,6
"mcgwima01","mcgwm001","mcgwima01","Mark McGwire",30.5,23.5,0,1994,1.46,15.2729626541902,7
"robinfr02","robif103","robinfr02","Frank Robinson",21.6,23.6,0,1957,6.88,12.9370220219038,-2
"robinfr02","robif103","robinfr02","Frank Robinson",22.6,23.6,0,1958,4.32,12.9370220219038,-1
"robinfr02","robif103","robinfr02","Frank Robinson",23.6,23.6,1,1959,5.81,12.9370220219038,0
"robinfr02","robif103","robinfr02","Frank Robinson",24.6,23.6,0,1960,6.21,12.9370220219038,1
"robinfr02","robif103","robinfr02","Frank Robinson",25.6,23.6,0,1961,7.69,12.9370220219038,2
"robinfr02","robif103","robinfr02","Frank Robinson",26.5,23.6,0,1962,8.72,12.9370220219038,3
"robinfr02","robif103","robinfr02","Frank Robinson",27.5,23.6,0,1963,4.76,12.9370220219038,4
"robinfr02","robif103","robinfr02","Frank Robinson",28.5,23.6,0,1964,7.89,12.9370220219038,5
"robinfr02","robif103","robinfr02","Frank Robinson",29.5,23.6,0,1965,5.05,12.9370220219038,6
"robinfr02","robif103","robinfr02","Frank Robinson",30.5,23.6,0,1966,7.66,12.9370220219038,7
"clarkwi02","clarw001","clarkwi02","Will Clark",22,24,0,1986,2.19,10.4624644605673,-2
"clarkwi02","clarw001","clarkwi02","Will Clark",23,24,0,1987,4.19,10.4624644605673,-1
"clarkwi02","clarw001","clarkwi02","Will Clark",24,24,1,1988,6.62,10.4624644605673,0
"clarkwi02","clarw001","clarkwi02","Will Clark",25,24,0,1989,8.59,10.4624644605673,1
"clarkwi02","clarw001","clarkwi02","Will Clark",26,24,0,1990,3.46,10.4624644605673,2
"clarkwi02","clarw001","clarkwi02","Will Clark",27,24,0,1991,5.19,10.4624644605673,3
"clarkwi02","clarw001","clarkwi02","Will Clark",28,24,0,1992,3.78,10.4624644605673,4
"clarkwi02","clarw001","clarkwi02","Will Clark",29,24,0,1993,1.52,10.4624644605673,5
"clarkwi02","clarw001","clarkwi02","Will Clark",30,24,0,1994,3.58,10.4624644605673,6
"clarkwi02","clarw001","clarkwi02","Will Clark",31,24,0,1995,3.08,10.4624644605673,7
"uptonju01","uptoj001","uptonju01","Justin Upton",21.6,23.6,0,2009,3.99,10.3156406291166,-2
"uptonju01","uptoj001","uptonju01","Justin Upton",22.6,23.6,0,2010,1.55,10.3156406291166,-1
"uptonju01","uptoj001","uptonju01","Justin Upton",23.6,23.6,1,2011,6.05,10.3156406291166,0
"uptonju01","uptoj001","uptonju01","Justin Upton",24.6,23.6,0,2012,2.45,10.3156406291166,1
"uptonju01","uptoj001","uptonju01","Justin Upton",25.6,23.6,0,2013,2.86,10.3156406291166,2
"uptonju01","uptoj001","uptonju01","Justin Upton",26.6,23.6,0,2014,3.19,10.3156406291166,3
"uptonju01","uptoj001","uptonju01","Justin Upton",27.6,23.6,0,2015,4.39,10.3156406291166,4
"griffke02","grifk002","griffke02","Ken Griffey",21.3,23.3,0,1991,7.09,10.161689041892,-2
"griffke02","grifk002","griffke02","Ken Griffey",22.3,23.3,0,1992,5.8,10.161689041892,-1
"griffke02","grifk002","griffke02","Ken Griffey",23.3,23.3,1,1993,8.74,10.161689041892,0
"griffke02","grifk002","griffke02","Ken Griffey",24.3,23.3,0,1994,6.9,10.161689041892,1
"griffke02","grifk002","griffke02","Ken Griffey",25.3,23.3,0,1995,3.26,10.161689041892,2
"griffke02","grifk002","griffke02","Ken Griffey",26.3,23.3,0,1996,9.68,10.161689041892,3
"griffke02","grifk002","griffke02","Ken Griffey",27.3,23.3,0,1997,9.1,10.161689041892,4
"griffke02","grifk002","griffke02","Ken Griffey",28.3,23.3,0,1998,6.61,10.161689041892,5
"griffke02","grifk002","griffke02","Ken Griffey",29.3,23.3,0,1999,4.94,10.161689041892,6
"griffke02","grifk002","griffke02","Ken Griffey",30.3,23.3,0,2000,5.5,10.161689041892,7
"puigya01","puigy001","puigya01","Yasiel Puig",22.3,23.3,0,2013,4.93,10.1459366683031,-1
"puigya01","puigy001","puigya01","Yasiel Puig",23.3,23.3,1,2014,5.35,10.1459366683031,0
"puigya01","puigy001","puigya01","Yasiel Puig",24.3,23.3,0,2015,1.06,10.1459366683031,1
"riceji01","ricej001","riceji01","Jim Rice",22,24,0,1975,2.95,9.59180294481507,-2
"riceji01","ricej001","riceji01","Jim Rice",23,24,0,1976,2.34,9.59180294481507,-1
"riceji01","ricej001","riceji01","Jim Rice",24,24,1,1977,5.18,9.59180294481507,0
"riceji01","ricej001","riceji01","Jim Rice",25,24,0,1978,7.54,9.59180294481507,1
"riceji01","ricej001","riceji01","Jim Rice",26,24,0,1979,6.34,9.59180294481507,2
"riceji01","ricej001","riceji01","Jim Rice",27,24,0,1980,2,9.59180294481507,3
"riceji01","ricej001","riceji01","Jim Rice",28,24,0,1981,2.44,9.59180294481507,4
"riceji01","ricej001","riceji01","Jim Rice",29,24,0,1982,3.03,9.59180294481507,5
"riceji01","ricej001","riceji01","Jim Rice",30,24,0,1983,5.62,9.59180294481507,6
"riceji01","ricej001","riceji01","Jim Rice",31,24,0,1984,2.46,9.59180294481507,7
"fieldpr01","fielp001","fieldpr01","Prince Fielder",21.9,23.9,0,2006,-0.74,9.57351732736829,-2
"fieldpr01","fielp001","fieldpr01","Prince Fielder",22.9,23.9,0,2007,3.59,9.57351732736829,-1
"fieldpr01","fielp001","fieldpr01","Prince Fielder",23.9,23.9,1,2008,1.53,9.57351732736829,0
"fieldpr01","fielp001","fieldpr01","Prince Fielder",24.9,23.9,0,2009,6.28,9.57351732736829,1
"fieldpr01","fielp001","fieldpr01","Prince Fielder",25.9,23.9,0,2010,1.51,9.57351732736829,2
"fieldpr01","fielp001","fieldpr01","Prince Fielder",26.9,23.9,0,2011,4.59,9.57351732736829,3
"fieldpr01","fielp001","fieldpr01","Prince Fielder",27.9,23.9,0,2012,4.73,9.57351732736829,4
"fieldpr01","fielp001","fieldpr01","Prince Fielder",28.9,23.9,0,2013,1.85,9.57351732736829,5
"fieldpr01","fielp001","fieldpr01","Prince Fielder",29.9,23.9,0,2014,-0.17,9.57351732736829,6
"fieldpr01","fielp001","fieldpr01","Prince Fielder",30.9,23.9,0,2015,1.93,9.57351732736829,7
"wrighda03","wrigd002","wrighda03","David Wright",21.3,23.2,0,2004,2.13,5.41271607901922,-2
"wrighda03","wrigd002","wrighda03","David Wright",22.3,23.2,0,2005,4.78,5.41271607901922,-1
"wrighda03","wrigd002","wrighda03","David Wright",23.2,23.2,1,2006,4.07,5.41271607901922,0
"wrighda03","wrigd002","wrighda03","David Wright",24.2,23.2,0,2007,8.32,5.41271607901922,1
"wrighda03","wrigd002","wrighda03","David Wright",25.2,23.2,0,2008,6.83,5.41271607901922,2
"wrighda03","wrigd002","wrighda03","David Wright",26.2,23.2,0,2009,3.15,5.41271607901922,3
"wrighda03","wrigd002","wrighda03","David Wright",27.2,23.2,0,2010,2.77,5.41271607901922,4
"wrighda03","wrigd002","wrighda03","David Wright",28.2,23.2,0,2011,1.99,5.41271607901922,5
"wrighda03","wrigd002","wrighda03","David Wright",29.2,23.2,0,2012,7.01,5.41271607901922,6
"wrighda03","wrigd002","wrighda03","David Wright",30.2,23.2,0,2013,5.87,5.41271607901922,7
"bondsbo01","bondb101","bondsbo01","Bobby Bonds",22,24,0,1968,2.8,1.21789354203544,-2
"bondsbo01","bondb101","bondsbo01","Bobby Bonds",23,24,0,1969,6.24,1.21789354203544,-1
"bondsbo01","bondb101","bondsbo01","Bobby Bonds",24,24,1,1970,5.21,1.21789354203544,0
"bondsbo01","bondb101","bondsbo01","Bobby Bonds",25,24,0,1971,6.68,1.21789354203544,1
"bondsbo01","bondb101","bondsbo01","Bobby Bonds",26,24,0,1972,5.02,1.21789354203544,2
"bondsbo01","bondb101","bondsbo01","Bobby Bonds",27,24,0,1973,7.76,1.21789354203544,3
"bondsbo01","bondb101","bondsbo01","Bobby Bonds",28,24,0,1974,4.29,1.21789354203544,4
"bondsbo01","bondb101","bondsbo01","Bobby Bonds",29,24,0,1975,5.04,1.21789354203544,5
"bondsbo01","bondb101","bondsbo01","Bobby Bonds",30,24,0,1976,2.11,1.21789354203544,6
"bondsbo01","bondb101","bondsbo01","Bobby Bonds",31,24,0,1977,5.04,1.21789354203544,7
